שם,אזור,מחיר לילה,מס' יחידות,טלפון,קישור למודעה,אינסטגרם,הערות
בקתות ארץ כנרת,אזור כנרת,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=5710,לא נבדק,
אחוזת האלה בגולן,נאות גולן,לא אומת,לא אומת,לא אומת,https://www.weekend.co.il/zimmers/hahyzat-haella,לא נבדק,"סוויטות מפוארות, ג'קוזי זרמים + בריכות ממוזגות"
פנינת הבזלת בגולן,שעל,לא אומת,לא אומת,052-9706855,https://www.zimmer.co.il/premium.asp?site_id=4703,לא נבדק,"צימר מבודד עם בריכה"
סוזנה באודם,אודם,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=3702,לא נבדק,
אודם הבר,אודם,לא אומת,3,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=1967,לא נבדק,"3 סוויטות זוגיות, ג'קוזי + דק עץ פרטי עם נוף"
בלוט אירוח כפרי,עין זיוון,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=2279,לא נבדק,
אלעזר חדרי אירוח,נווה אטיב,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=3431,לא נבדק,"למרגלות החרמון"
כלפון בחרמון,נווה אטיב,לא אומת,לא אומת,04-6981532,https://www.zimmer.co.il/premium.asp?site_id=884,לא נבדק,
מילס סוויטות נופש,נווה אטיב,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=511,לא נבדק,
אצל סטפני,נווה אטיב,לא אומת,לא אומת,052-7810046,https://www.zimmer.co.il/premium.asp?site_id=1040,לא נבדק,"ליד החרמון"
וילה אל נוף הפנורמה,מטולה,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=409,לא נבדק,
סוויטות וספא בגליל,קרית שמונה,לא אומת,6,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=727,לא נבדק,"6 סוויטות גדולות, כניסה נפרדת לכל יחידה"
צימר אפ Zimmer Up,הגושרים,לא אומת,לא אומת,לא אומת,https://www.weekend.co.il/zimmers/zimmer-up,לא נבדק,
צימרי הגליל עלמה,עלמה,לא אומת,4,לא אומת,https://www.weekend.co.il/zimmers/zimeri-hgallil-alma,לא נבדק,"4 סוויטות אבן + חצר מטופחת עם בריכה"
צימר מעל המעיין,בית ג'אן,לא אומת,לא אומת,לא אומת,https://www.weekend.co.il/zimmers/zimmer-meal-hayam,לא נבדק,"ג'קוזי ביחידות + בריכה במתחם"
סוויטות פאר הגליל,עבדון (גליל מערבי),לא אומת,2,055-4313818,https://www.zimmer.co.il/premium.asp?site_id=514,לא נבדק,"2 סוויטות מפוארות מול נוף הרי הגליל"
נועם המרגלית,כפר ורדים,לא אומת,2,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=2906,לא נבדק,"סטודיו עם ג'קוזי זוגי + וילת נופש 3 חדרים"
ים של גליל מערבי,גליל מערבי,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=1596,לא נבדק,
Dvora's Romantic Studio,כפר ורדים,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=5618,לא נבדק,
ימה צימר וספא,זכרון יעקב,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=5455,לא נבדק,"צימר + ספא"
מדרחוב זכרון יעקב,זכרון יעקב,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=3693,לא נבדק,"על המדרחוב — מיקום תיירותי חזק"
המקום שלי במושבה,זכרון יעקב,לא אומת,5,052-9706726,https://www.zimmer.co.il/premium.asp?site_id=4187,לא נבדק,"5 יחידות + גינה קסומה עם פינות ישיבה ומנגל"
עין הוד - צימר כזה,עין הוד,לא אומת,לא אומת,לא אומת,https://www.weekend.co.il/zimmers/zimmer-like-this,לא נבדק,"דירוג 5.0, ג'קוזי ספא חיצוני בכל יחידה, מבודד"
יקיר עין הוד,עין הוד,לא אומת,3,לא אומת,https://www.weekend.co.il/zimmers/yakir-ein-hod-country-hospitality,לא נבדק,"3 בקתות מרווחות + בריכה בכפר האמנים"
אתנחתא עין הוד,עין הוד,לא אומת,לא אומת,לא אומת,https://www.weekend.co.il/zimmers/atnachta-ain-hod,לא נבדק,
בית בטבע,עין הוד,לא אומת,לא אומת,לא אומת,https://www.weekend.co.il/zimmers/bait-bateva-ein-hod,לא נבדק,"טיפולי ספא, מבודד"
צימר אמסטרדם,עין הוד,לא אומת,לא אומת,לא אומת,https://www.weekend.co.il/zimmers/amsterdam-apartment,לא נבדק,"בית אבן עתיק צופה לים בחלק הישן של עין הוד"
אויר הרים,הרי ירושלים,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=3893,לא נבדק,"יחידות לזוגות/משפחות עד 3 ילדים"
פינקצימר,הרי ירושלים,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=1711,לא נבדק,"בקתת עץ לזוגות + ארוחות בוקר כפריות + טיפולי גוף"
וילה 900,מצפה רמון,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=4682,לא נבדק,
צימרים האופק המנחה,מצפה רמון,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=4590,לא נבדק,"בקתות עץ"
צימרים בחוות האלפקות,מצפה רמון,לא אומת,לא אומת,לא אומת,https://www.zimmer.co.il/premium.asp?site_id=3549,לא נבדק,"חוות אלפקות — קונספט ויראלי מובהק לרילסים"
בתיה וקלוד בעין הוד,עין הוד,500-600 (עונה רגילה),3,053-9384129 / 055-4541949,https://www.weekend.co.il/zimmers/batya-and-claud-in-ein-hod,לא נבדק,"★ הדמו הראשון ★ בית אבן בכפר האמנים, 3 סוויטות זוגיות (פרובאנס/החדר הירוק/נוף ים), בעלים אמנים. שים לב: מתחת לרף 1,200 ₪ — משמש כדמו בלבד"
